subject_id	subject_category	subject_label	subject_type	predicate_id	predicate_label	object_id	object_category	object_label	object_type	mapping_justification	comment	mapping_date	author_id	author_label	reviewer_id	reviewer_label	creator_label
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/organismScope	Organism	organismScope	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/organismRemarks	Organism	organismRemarks	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:has_sample_object_type	MaterialSampleRecord	has_sample_object_type	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/basisOfRecord	RecordLevel	basisOfRecord	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:related_resource	MaterialSampleRecord	related_resource	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://purl.org/dc/terms/references	Record-Level	references	rdf:Property	semapv:ManualMappingCuration	"iSamples term refers to a specific sample, whereas object term applies to the whole record."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:related_resource	MaterialSampleRecord	related_resource	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/relatedResourceID	ResourceRelationship	relatedResourceID	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:related_resource	MaterialSampleRecord	related_resource	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/relationshipOfResourceID	ResourceRelationship	relationshipOfResourceID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:complies_with	MaterialSampleRecord	complies_with	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/iri/preparations	MaterialEntity	preparations	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:complies_with	MaterialSampleRecord	complies_with	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/iri/samplingProtocol	Event	samplingProtocol	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:dc_rights	MaterialSampleRecord	dc_rights	rdf:Property	skos:closeMatch	closeMatch	http://purl.org/dc/terms/rightsHolder	Record-Level	rightsHolder	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:curation	MaterialSampleRecord	curation	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/disposition	MaterialEntity	disposition	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:GeospatialCoordLocation	GeospatialCoordLocation	GeospatialCoordLocation	rdfs:Class	skos:closeMatch	closeMatch	http://purl.org/dc/terms/Location	Location	Location	rdfs:Class	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/minimumElevationInMeters	Location	minimumElevationInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/maximumElevationInMeters	Location	maximumElevationInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/verbatimElevation	Location	verbatimElevation	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/verticalDatum	Location	verticalDatum	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/minimumDepthInMeters	Location	minimumDepthInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/maximumDepthInMeters	Location	maximumDepthInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/verbatimDepth	Location	verbatimDepth	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters	Location	minimumDistanceAboveSurfaceInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:elevation	GeospatialCoordLocation	elevation	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters	Location	maximumDistanceAboveSurfaceInMeters	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:latitude	GeospatialCoordLocation	latitude	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/decimalLatitude	Location	decimalLatitude	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:latitude	GeospatialCoordLocation	latitude	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/verbatimLatitude	Location	verbatimLatitude	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:longitude	GeospatialCoordLocation	longitude	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/decimalLongitude	Location	decimalLongitude	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:longitude	GeospatialCoordLocation	longitude	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/verbatimLongitude	Location	verbatimLongitude	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:obfuscated	GeospatialCoordLocation	obfuscated	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/terms/informationWithheld	Record-Level	informationWithheld	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:obfuscated	GeospatialCoordLocation	obfuscated	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/terms/dataGeneralizations	Record-Level	dataGeneralizations	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:IdentifierObject	IdentifierObject	IdentifierObject	rdfs:Class	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/Identification	Identification	Identification	rdfs:Class	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:identifier	IdentifierObject	identifier	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/identificationID	Identification	identificationID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:label	IdentifierObject	label	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/verbatimIdentification	Identification	verbatimIdentification	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:scheme_name	IdentifierObject	scheme_name	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/terms/typeStatus	Identification	typeStatus	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:scheme_name	Keyword	scheme_name	rdf:Property	https://www.w3.org/2009/08/skos-reference/skos.html#relatedMatch	relatedMatch	http://rs.tdwg.org/dwc/terms/typeStatus	Identification	typeStatus	rdf:Property	semapv:ManualMappingCuration	"Concepts have similar applications, but specifications differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:SampleRelation	SampleRelation	SampleRelation	rdfs:Class	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/ResourceRelationship	ResourceRelationship	ResourceRelationship	rdfs:Class	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SampleRelation	description	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/relationshipRemarks	ResourceRelationship	relationshipRemarks	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:label	SampleRelation	label	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/relationshipOfResource	ResourceRelationship	relationshipOfResource	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:relationship	SampleRelation	relationship	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/relationshipOfResource	ResourceRelationship	relationshipOfResource	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:target	SampleRelation	target	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/resourceID	ResourceRelationship	resourceID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:SamplingEvent	SamplingEvent	SamplingEvent	rdfs:Class	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/Event	Event	Event	rdfs:Class	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:authorized_by	SamplingEvent	authorized_by	rdf:Property	skos:closeMatch	closeMatch		Record-Level	license	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/habitat	Event	habitat	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/sampleSizeValue	Event	sampleSizeValue	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/sampleSizeUnit	Event	sampleSizeUnit	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/samplingEffort	Event	samplingEffort	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/fieldNotes	Event	fieldNotes	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:description	SamplingEvent	description	rdf:Property	skos:broadMatch	closeMatch	http://rs.tdwg.org/dwc/terms/eventRemarks	Event	eventRemarks	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:identifier	SamplingEvent	identifier	rdf:Property	skos:closeMatch	closeMatch	http://rs.tdwg.org/dwc/terms/eventID	Event	eventID	rdf:Property	semapv:ManualMappingCuration	"Concepts are closely aligned, but terms differ."		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:label	SamplingEvent	label	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/eventType	Event	eventType	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:label	SamplingEvent	label	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/fieldNumber	Event	fieldNumber	rdf:Property	semapv:ManualMappingCuration	"Object is a more specific, contextual subtype of the iSamples term"		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:project	SamplingEvent	project	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/parentEventID	Event	parentEventID	rdf:Property	semapv:ManualMappingCuration	Object covers only a portion of the iSamples term's application.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:result_time	SamplingEvent	result_time	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/eventDate	Event	eventDate	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:result_time	SamplingEvent	result_time	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/eventTime	Event	eventTime	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:result_time	SamplingEvent	result_time	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/startDayOfYear	Event	startDayOfYear	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
isam:result_time	SamplingEvent	result_time	rdf:Property	skos:broadMatch	broadMatch	http://rs.tdwg.org/dwc/terms/endDayOfYear	Event	endDayOfYear	rdf:Property	semapv:ManualMappingCuration	Object is a term that is conditionally applicable to the broader iSamples value.		https://orcid.org/0000-0002-5819-9134	Ben Norton	https://orcid.org/0000-0002-5819-9134	Ben Norton	Susan Edelstein
